text,category,tokens,processed_text
"Здравствуйте, как я могу получить адресную справку онлайн через портал egov.kz?",Запрос на госуслугу,"['здравствовать', 'мочь', 'получить', 'адресный', 'справка', 'онлайн', 'портал']",здравствовать мочь получить адресный справка онлайн портал
Почему портал электронного правительства постоянно выдает ошибку при попытке подписать заявление с помощью ЭЦП?,Техническая проблема,"['почему', 'портал', 'электронный', 'правительство', 'постоянно', 'выдавать', 'ошибка', 'попытка', 'подписать', 'заявление', 'помощь', 'эцп']",почему портал электронный правительство постоянно выдавать ошибка попытка подписать заявление помощь эцп
Выражаю благодарность сотруднику ЦОНа №3 города Астаны за оперативную помощь в оформлении документов.,Предложение/Отзыв,"['выражать', 'благодарность', 'сотрудник', 'цон', 'город', 'астаны', 'оперативный', 'помощь', 'оформление', 'документ']",выражать благодарность сотрудник цон город астаны оперативный помощь оформление документ
"Не могу записаться на прием в поликлинику через мобильное приложение Damumed, кнопка записи неактивна.",Техническая проблема,"['мочь', 'записаться', 'прием', 'поликлиника', 'мобильный', 'приложение', 'кнопка', 'запись', 'неактивный']",мочь записаться прием поликлиника мобильный приложение кнопка запись неактивный
"Какие документы необходимы для регистрации рождения ребенка, если один из родителей иностранец?",Запрос на госуслугу,"['какой', 'документ', 'необходимый', 'регистрация', 'рождение', 'ребенок', 'родитель', 'иностранец']",какой документ необходимый регистрация рождение ребенок родитель иностранец
Ужасное обслуживание! Оператор горячей линии был очень груб и не смог ответить на мой вопрос по существу.,Жалоба,"['ужасный', 'обслуживание', 'оператор', 'горячий', 'линия', 'очень', 'грубый', 'смочь', 'ответить', 'вопрос', 'существо']",ужасный обслуживание оператор горячий линия очень грубый смочь ответить вопрос существо
"Предлагаю улучшить навигацию на вашем сайте, очень сложно найти нужную информацию о социальных выплатах.",Предложение/Отзыв,"['предлагать', 'улучшить', 'навигация', 'ваш', 'сайт', 'очень', 'сложный', 'найти', 'нужный', 'информация', 'социальный', 'выплата']",предлагать улучшить навигация ваш сайт очень сложный найти нужный информация социальный выплата
"Мое обращение по поводу ремонта дороги зарегистрировано под номером 12345, но до сих пор нет никакого ответа. Прошу ускорить рассмотрение.",Жалоба,"['мой', 'обращение', 'повод', 'ремонт', 'дорога', 'зарегистрировать', 'номер', 'сей', 'пора', 'никакой', 'ответ', 'просить', 'ускорить', 'рассмотрение']",мой обращение повод ремонт дорога зарегистрировать номер сей пора никакой ответ просить ускорить рассмотрение
"Как получить справку о несудимости, если я нахожусь за границей? Возможна ли подача онлайн?",Запрос на госуслугу,"['получить', 'справка', 'несудимость', 'находиться', 'граница', 'возможный', 'подача', 'онлайн']",получить справка несудимость находиться граница возможный подача онлайн
Неверно указана моя фамилия в базе данных. Как можно исправить эту ошибку? Подавал заявку через egov.,Техническая проблема,"['неверно', 'указать', 'фамилия', 'база', 'данные', 'исправить', 'ошибка', 'подавать', 'заявка']",неверно указать фамилия база данные исправить ошибка подавать заявка
"Хочу узнать, какие льготы положены многодетным семьям в этом году в Казахстане.",Консультация/Вопрос,"['хотеть', 'узнать', 'какой', 'льгота', 'положенный', 'многодетный', 'семья', 'год', 'казахстан']",хотеть узнать какой льгота положенный многодетный семья год казахстан
"Сайт государственных закупок работает очень медленно, невозможно загрузить тендерную документацию.",Техническая проблема,"['сайт', 'государственный', 'закупка', 'работать', 'очень', 'медленно', 'невозможный', 'загрузить', 'тендерный', 'документация']",сайт государственный закупка работать очень медленно невозможный загрузить тендерный документация
Спасибо за быстрый ответ на предыдущее обращение! Проблема была решена.,Предложение/Отзыв,"['спасибо', 'быстрый', 'ответ', 'предыдущий', 'обращение', 'проблема', 'решить']",спасибо быстрый ответ предыдущий обращение проблема решить
Почему для получения простой справки нужно стоять в очереди по два часа? Это недопустимо в XXI веке!,Жалоба,"['почему', 'получение', 'простой', 'справка', 'нужный', 'стоять', 'очередь', 'час', 'это', 'недопустимый', 'век']",почему получение простой справка нужный стоять очередь час это недопустимый век
Необходима консультация по поводу открытия ИП. Какие налоги нужно будет платить?,Консультация/Вопрос,"['необходимый', 'консультация', 'повод', 'открытие', 'ип', 'какой', 'налог', 'нужный', 'платить']",необходимый консультация повод открытие ип какой налог нужный платить
