text,category
"Здравствуйте, как я могу получить адресную справку онлайн через портал egov.kz?","Запрос на госуслугу"
"Почему портал электронного правительства постоянно выдает ошибку при попытке подписать заявление с помощью ЭЦП?","Техническая проблема"
"Выражаю благодарность сотруднику ЦОНа №3 города Астаны за оперативную помощь в оформлении документов.","Предложение/Отзыв"
"Не могу записаться на прием в поликлинику через мобильное приложение Damumed, кнопка записи неактивна.","Техническая проблема"
"Какие документы необходимы для регистрации рождения ребенка, если один из родителей иностранец?","Запрос на госуслугу"
"Ужасное обслуживание! Оператор горячей линии был очень груб и не смог ответить на мой вопрос по существу.","Жалоба"
"Предлагаю улучшить навигацию на вашем сайте, очень сложно найти нужную информацию о социальных выплатах.","Предложение/Отзыв"
"Мое обращение по поводу ремонта дороги зарегистрировано под номером 12345, но до сих пор нет никакого ответа. Прошу ускорить рассмотрение.","Жалоба"
"Как получить справку о несудимости, если я нахожусь за границей? Возможна ли подача онлайн?","Запрос на госуслугу"
"Неверно указана моя фамилия в базе данных. Как можно исправить эту ошибку? Подавал заявку через egov.","Техническая проблема"
"Хочу узнать, какие льготы положены многодетным семьям в этом году в Казахстане.","Консультация/Вопрос"
"Сайт государственных закупок работает очень медленно, невозможно загрузить тендерную документацию.","Техническая проблема"
"Спасибо за быстрый ответ на предыдущее обращение! Проблема была решена.","Предложение/Отзыв"
"Почему для получения простой справки нужно стоять в очереди по два часа? Это недопустимо в XXI веке!","Жалоба"
"Необходима консультация по поводу открытия ИП. Какие налоги нужно будет платить?","Консультация/Вопрос"
"Я подавал заявление на смену удостоверения личности две недели назад, статус до сих пор 'в обработке'. Когда будет готово?","Запрос на госуслугу"
"Прошу рассмотреть возможность добавления казахского языка интерфейса в мобильное приложение вашего ведомства.","Предложение/Отзыв"
"При попытке оплатить штраф онлайн через Kaspi платеж не проходит, выдает ошибку 'сервис временно недоступен'.","Техническая проблема"
"Где можно найти актуальный список аккредитованных учебных центров для повышения квалификации?","Консультация/Вопрос"
"Я потерял ИИН, как его можно восстановить и какие документы для этого нужны?","Запрос на госуслугу"
"Качество мобильной связи в нашем районе очень плохое, интернет практически отсутствует. Это зона ответственности какого ведомства?","Жалоба"
"Было бы здорово, если бы можно было отслеживать статус всех своих обращений в госорганы в одном месте.","Предложение/Отзыв"
"Не могу обновить ЭЦП, система пишет 'срок действия ключей истек', хотя они должны быть действительны еще месяц.","Техническая проблема"
"Какие существуют программы государственной поддержки для молодых предпринимателей в сельской местности?","Консультация/Вопрос"
"Подал заявку на получение земельного участка. Как долго ждать ответа и от чего зависят сроки?","Запрос на госуслугу"
"Не могу войти в egov, пишет 'пользователь не найден', хотя ИИН ввожу правильно.","Техническая проблема"
"Как получить справку об отсутствии (наличии) недвижимого имущества на ребенка?","Запрос на госуслугу"
"Прошу рассмотреть возможность интеграции сервиса проверки штрафов ПДД напрямую в мобильное приложение банка.","Предложение/Отзыв"
"В ЦОНе №1 г. Алматы огромные очереди, работает всего два окна на выдачу документов.","Жалоба"
"Какие сроки рассмотрения заявления на получение пособия по уходу за ребенком до года?","Консультация/Вопрос"
"Добрый день, хотел бы зарегистрировать ТОО. Какие шаги предпринять на портале?","Запрос на госуслугу"
"После обновления мобильного приложения eGov mobile пропала история моих обращений.","Техническая проблема"
"Благодарю оператора Асем за подробную консультацию по вопросу получения ИИН для иностранца.","Предложение/Отзыв"
"Почему начислена пеня за налог на транспорт, если я оплатил его вовремя? Есть квитанция.","Жалоба"
"Можно ли получить дубликат свидетельства о браке, если оригинал утерян?","Запрос на госуслугу"
"Страница с результатами ЕНТ не открывается, выдает ошибку 500.","Техническая проблема"
"Хотелось бы, чтобы уведомления о готовности документов приходили также по SMS, а не только в личный кабинет.","Предложение/Отзыв"
"В государственной поликлинике №5 невозможно дозвониться до регистратуры.","Жалоба"
"Существуют ли какие-либо налоговые вычеты для молодых специалистов, работающих в сельской местности?","Консультация/Вопрос"
"Как поставить ребенка на очередь в детский сад в городе Шымкент?","Запрос на госуслугу"
"Ошибка при загрузке сканированных документов на портал лицензирования. Файл соответствует требованиям.","Техническая проблема"
"Отличная работа! Получил паспорт всего за 3 дня, очень быстро.","Предложение/Отзыв"
"Мне отказали в предоставлении услуги без объяснения причин. Куда я могу подать апелляцию?","Жалоба"
"Где можно посмотреть список аккредитованных нотариусов для оформления доверенности?","Консультация/Вопрос"
"Нужно продлить срок действия водительского удостоверения. Это делается онлайн или нужно ехать в спецЦОН?","Запрос на госуслугу"
"Не работает поиск по сайту министерства юстиции.","Техническая проблема"
"Предлагаю создать единый колл-центр для всех государственных услуг, чтобы не звонить в разные ведомства.","Предложение/Отзыв"
"Почему информация о составе семьи в личном кабинете egov не обновляется автоматически после рождения ребенка?","Жалоба"
"Какие документы нужны для оформления временной прописки для гражданина РФ?","Запрос на госуслугу"
"Не могу скачать шаблон заявления с вашего сайта, ссылка неактивна.","Техническая проблема"
"Спасибо за подробные инструкции на сайте по получению ЭЦП удаленно! Все получилось.","Предложение/Отзыв"
"Записался на прием к врачу через egov, а в поликлинике моей записи нет. Как такое возможно?","Жалоба"
"Каков порядок действий при смене фамилии после замужества для всех документов?","Консультация/Вопрос"
"Как получить выписку из пенсионного фонда о состоянии моих накоплений?","Запрос на госуслугу"
"Приложение 'Цифровые документы' не отображает мое водительское удостоверение.","Техническая проблема"
"Прошу добавить функцию экспорта истории платежей в Excel или PDF в личном кабинете налогоплательщика.","Предложение/Отзыв"
"Сотрудники миграционной службы в г. Караганда требуют документы, не указанные в официальном перечне.","Жалоба"
"Какие есть программы поддержки малого бизнеса для женщин-предпринимателей?","Консультация/Вопрос"
"Необходимо зарегистрировать автомобиль, привезенный из-за границы. Какова процедура?","Запрос на госуслугу"
"При попытке подписать договор на портале госзакупок ЭЦП не распознается. NCALayer запущен.","Техническая проблема"
"Очень удобная функция автозаполнения данных из удостоверения личности на портале! Экономит время.","Предложение/Отзыв"
"Почему задерживают выплату детского пособия в этом месяце?","Жалоба"
